2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 2 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 2 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | auth-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | data-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | unresolved | FAILED | All fixes failed | 1 attempt(s)
2026-05-14 | payment-service | wrong_port | RESOLVED | wrong_port fixed | 1 attempt(s)
2026-05-14 | data-service | wrong_port | RESOLVED | wrong_port fixed | 1 attempt(s)
2026-05-14 | auth-service | wrong_port | RESOLVED | wrong_port fixed | 1 attempt(s)
2026-05-14 | data-service | wrong_port | RESOLVED | wrong_port fixed | 1 attempt(s)
